#Priority,Task,asiggne,description,,
10,sort by total price ,Tomer,,,
10,web page with date picker and destination picker,Adir,,,
10,Tomer algorithm testing ,Adir,,,
10,understand how to combine c++ and python code,Adir,,,
10,build web page with flight resutls ,,should be basic with link to carrier web site,,
9,error there is no path,Tomer,remove the error raised when no flights found,,
8,exploration on REST API ,Adir/Tomer,,,
7,wrong input line,Tomer,,,
6,aggregate data on events,Adir,,,
5,algorithm to connection flights,Tomer,,,
5,deploy POC for testing ,Adir,,,
